"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCNA1",-3.91268788380144,1.75709027679418,-8.40594943519093,2.24078416946638e-15,1.57012139874539e-13,24.3165594524496
"MIR2052HG",-3.13387254740789,-2.08050480869133,-8.40265306843938,2.29151611605937e-15,1.59170702044193e-13,24.29463913172
"AC090994.1",-3.20354219399698,-0.753016748231735,-8.36780600545047,2.90251340423188e-15,1.97601793235831e-13,24.0632225404611
"MYOSLID",-2.23839149448509,1.18373623745781,-8.36322520669567,2.99398837853813e-15,2.0267778955731e-13,24.0328441721014
"SPEG",-2.00541598422505,3.15081521736967,-8.35232120633228,3.22337426918761e-15,2.1698017131127e-13,23.9605721011206
"C1QTNF4",2.25229206957806,-3.59956382712872,8.34394946012617,3.41121926248829e-15,2.28981676208037e-13,23.9051219048064
"RHBDL3",2.56007832348033,-0.105790354247072,8.34033787679308,3.49556415581756e-15,2.3398798723467e-13,23.8812108188656
"SOWAHA",2.240984426454,-2.20299943537848,8.3316652756255,3.70662778055173e-15,2.46054371559949e-13,23.8238175858431
"MGAT3",2.54948968138023,1.63348288571627,8.31074339949149,4.26914094205158e-15,2.80289571329655e-13,23.6855080525868
"RFPL1S",2.27407901634685,-2.83870203425223,8.29522720318159,4.7401325061924e-15,3.09516445172738e-13,23.5830683290362
"ANKRD34B",3.27030458819639,-3.0662830562385,8.26982585950057,5.62458316979589e-15,3.58477423087736e-13,23.4156132406354
"FLJ42969",-2.59414793740502,-1.12392877213348,-8.23567538182506,7.07577606694147e-15,4.42725581379074e-13,23.1909671030711
"PODXL2",2.84254506916816,2.88509728949126,8.23189126954603,7.25780048645636e-15,4.5175566456478e-13,23.1661092039866
"CERS3",-2.35063395979518,5.67062685507238,-8.22237524059982,7.73627489303982e-15,4.77814668909295e-13,23.1036287196523
"C14orf39",2.36951055581376,-3.55683530501114,8.22003736804329,7.85852258185405e-15,4.82875987568078e-13,23.088285360213
