"gene","module"
"ENSG00000163833.8","green"
"ENSG00000181577.16","blue"
"ENSG00000138136.6","green"
"ENSG00000236120.7","blue"
"ENSG00000138755.6","turquoise"
"ENSG00000231107.2","grey"
"ENSG00000237575.4","grey"
"ENSG00000146530.14","blue"
"ENSG00000241794.2","yellow"
"ENSG00000186844.6","yellow"
"ENSG00000204538.4","yellow"
"ENSG00000189051.5","yellow"
"ENSG00000064655.19","blue"
"ENSG00000230061.2","grey"
"ENSG00000140519.14","yellow"
"ENSG00000196167.10","blue"
"ENSG00000171126.8","blue"
"ENSG00000211594.2","turquoise"
"ENSG00000227128.5","green"
"ENSG00000169245.6","turquoise"
"ENSG00000144908.14","turquoise"
"ENSG00000100473.18","blue"
"ENSG00000189001.11","yellow"
"ENSG00000152580.8","brown"
"ENSG00000211645.2","turquoise"
"ENSG00000224854.3","grey"
"ENSG00000287426.1","yellow"
"ENSG00000125813.13","grey"
"ENSG00000278263.2","turquoise"
"ENSG00000180861.9","yellow"
"ENSG00000273540.4","green"
"ENSG00000237923.1","turquoise"
"ENSG00000173253.15","blue"
"ENSG00000143355.16","grey"
"ENSG00000179046.8","blue"
"ENSG00000180316.12","yellow"
"ENSG00000211958.2","turquoise"
"ENSG00000116748.21","green"
"ENSG00000164411.12","grey"
"ENSG00000136697.13","yellow"
"ENSG00000260763.1","grey"
"ENSG00000102230.14","brown"
"ENSG00000103546.18","yellow"
"ENSG00000165188.13","blue"
"ENSG00000180999.11","green"
"ENSG00000213730.3","grey"
"ENSG00000277268.2","blue"
"ENSG00000211978.2","turquoise"
"ENSG00000149294.17","green"
"ENSG00000166736.11","blue"
"ENSG00000117971.12","grey"
"ENSG00000071991.9","brown"
"ENSG00000185272.14","blue"
"ENSG00000186529.16","blue"
"ENSG00000267795.6","blue"
"ENSG00000163464.8","yellow"
"ENSG00000171658.8","grey"
"ENSG00000177519.4","blue"
"ENSG00000166670.10","yellow"
"ENSG00000147041.12","blue"
"ENSG00000183960.9","blue"
"ENSG00000237636.3","grey"
"ENSG00000100078.4","yellow"
"ENSG00000196277.16","blue"
"ENSG00000214617.9","grey"
"ENSG00000179869.15","blue"
"ENSG00000250421.5","grey"
"ENSG00000125848.10","yellow"
"ENSG00000189212.12","blue"
"ENSG00000151632.17","turquoise"
"ENSG00000123572.17","brown"
"ENSG00000196482.18","green"
"ENSG00000170160.17","grey"
"ENSG00000236333.4","grey"
"ENSG00000259107.2","turquoise"
"ENSG00000160200.18","yellow"
"ENSG00000170426.2","yellow"
"ENSG00000244675.2","grey"
"ENSG00000272068.1","grey"
"ENSG00000144057.15","brown"
"ENSG00000234262.1","blue"
"ENSG00000079393.20","green"
"ENSG00000169474.4","yellow"
"ENSG00000165092.13","blue"
"ENSG00000071909.19","grey"
"ENSG00000165953.10","yellow"
